Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, Oct 16, 2018",8:00p,Philadelphia 76ers,87,Boston Celtics,105
"Tue, Oct 16, 2018",10:30p,Oklahoma City Thunder,100,Golden State Warriors,108
"Wed, Oct 17, 2018",7:00p,Milwaukee Bucks,113,Charlotte Hornets,112
"Wed, Oct 17, 2018",7:00p,Brooklyn Nets,100,Detroit Pistons,103
"Wed, Oct 17, 2018",7:00p,Memphis Grizzlies,83,Indiana Pacers,111
"Wed, Oct 17, 2018",7:00p,Miami Heat,101,Orlando Magic,104
"Wed, Oct 17, 2018",7:30p,Atlanta Hawks,107,New York Knicks,126
"Wed, Oct 17, 2018",7:30p,Cleveland Cavaliers,104,Toronto Raptors,116
"Wed, Oct 17, 2018",8:00p,New Orleans Pelicans,131,Houston Rockets,112
"Wed, Oct 17, 2018",8:30p,Minnesota Timberwolves,108,San Antonio Spurs,112
"Wed, Oct 17, 2018",10:00p,Utah Jazz,123,Sacramento Kings,117
"Wed, Oct 17, 2018",10:30p,Denver Nuggets,107,Los Angeles Clippers,98
"Wed, Oct 17, 2018",10:30p,Dallas Mavericks,100,Phoenix Suns,121
"Thu, Oct 18, 2018",8:00p,Chicago Bulls,108,Philadelphia 76ers,127
"Thu, Oct 18, 2018",8:00p,Miami Heat,113,Washington Wizards,112
"Thu, Oct 18, 2018",10:30p,Los Angeles Lakers,119,Portland Trail Blazers,128
"Fri, Oct 19, 2018",7:00p,Charlotte Hornets,120,Orlando Magic,88
"Fri, Oct 19, 2018",7:30p,New York Knicks,105,Brooklyn Nets,107
"Fri, Oct 19, 2018",8:00p,Atlanta Hawks,117,Memphis Grizzlies,131
"Fri, Oct 19, 2018",8:00p,Cleveland Cavaliers,123,Minnesota Timberwolves,131
"Fri, Oct 19, 2018",8:00p,Sacramento Kings,129,New Orleans Pelicans,149
"Fri, Oct 19, 2018",8:00p,Boston Celtics,101,Toronto Raptors,113
"Fri, Oct 19, 2018",8:30p,Indiana Pacers,101,Milwaukee Bucks,118
"Fri, Oct 19, 2018",10:30p,Oklahoma City Thunder,92,Los Angeles Clippers,108
"Fri, Oct 19, 2018",10:30p,Golden State Warriors,124,Utah Jazz,123
"Sat, Oct 20, 2018",7:00p,Brooklyn Nets,112,Indiana Pacers,132
"Sat, Oct 20, 2018",7:00p,Toronto Raptors,117,Washington Wizards,113
"Sat, Oct 20, 2018",7:30p,Boston Celtics,103,New York Knicks,101
"Sat, Oct 20, 2018",7:30p,Orlando Magic,115,Philadelphia 76ers,116
"Sat, Oct 20, 2018",8:00p,Detroit Pistons,118,Chicago Bulls,116
"Sat, Oct 20, 2018",8:00p,Charlotte Hornets,113,Miami Heat,112
"Sat, Oct 20, 2018",8:30p,Minnesota Timberwolves,136,Dallas Mavericks,140
"Sat, Oct 20, 2018",9:00p,Phoenix Suns,91,Denver Nuggets,119
"Sat, Oct 20, 2018",10:00p,San Antonio Spurs,108,Portland Trail Blazers,121
"Sat, Oct 20, 2018",10:30p,Houston Rockets,124,Los Angeles Lakers,115
"Sun, Oct 21, 2018",6:00p,Atlanta Hawks,133,Cleveland Cavaliers,111
"Sun, Oct 21, 2018",7:00p,Sacramento Kings,131,Oklahoma City Thunder,120
"Sun, Oct 21, 2018",8:00p,Golden State Warriors,98,Denver Nuggets,100
"Sun, Oct 21, 2018",9:00p,Houston Rockets,112,Los Angeles Clippers,115
"Mon, Oct 22, 2018",7:30p,Orlando Magic,93,Boston Celtics,90
"Mon, Oct 22, 2018",7:30p,Charlotte Hornets,106,Toronto Raptors,127
"Mon, Oct 22, 2018",8:00p,New York Knicks,113,Milwaukee Bucks,124
"Mon, Oct 22, 2018",8:00p,Indiana Pacers,91,Minnesota Timberwolves,101
"Mon, Oct 22, 2018",8:30p,Chicago Bulls,109,Dallas Mavericks,115
"Mon, Oct 22, 2018",9:00p,Memphis Grizzlies,92,Utah Jazz,84
"Mon, Oct 22, 2018",10:00p,Washington Wizards,125,Portland Trail Blazers,124
"Mon, Oct 22, 2018",10:30p,Phoenix Suns,103,Golden State Warriors,123
"Mon, Oct 22, 2018",10:30p,San Antonio Spurs,143,Los Angeles Lakers,142
"Tue, Oct 23, 2018",7:00p,Philadelphia 76ers,132,Detroit Pistons,133
"Tue, Oct 23, 2018",8:00p,Los Angeles Clippers,109,New Orleans Pelicans,116
"Tue, Oct 23, 2018",9:00p,Sacramento Kings,112,Denver Nuggets,126
"Wed, Oct 24, 2018",7:00p,Dallas Mavericks,104,Atlanta Hawks,111
"Wed, Oct 24, 2018",7:00p,Brooklyn Nets,102,Cleveland Cavaliers,86
"Wed, Oct 24, 2018",7:30p,New York Knicks,87,Miami Heat,110
"Wed, Oct 24, 2018",7:30p,Minnesota Timberwolves,105,Toronto Raptors,112
"Wed, Oct 24, 2018",8:00p,Charlotte Hornets,110,Chicago Bulls,112
"Wed, Oct 24, 2018",8:00p,Utah Jazz,100,Houston Rockets,89
"Wed, Oct 24, 2018",8:30p,Indiana Pacers,116,San Antonio Spurs,96
"Wed, Oct 24, 2018",9:30p,Philadelphia 76ers,108,Milwaukee Bucks,123
"Wed, Oct 24, 2018",10:00p,Los Angeles Lakers,131,Phoenix Suns,113
"Wed, Oct 24, 2018",10:00p,Memphis Grizzlies,92,Sacramento Kings,97
"Wed, Oct 24, 2018",10:30p,Washington Wizards,122,Golden State Warriors,144
"Thu, Oct 25, 2018",7:00p,Cleveland Cavaliers,103,Detroit Pistons,110
"Thu, Oct 25, 2018",7:00p,Portland Trail Blazers,128,Orlando Magic,114
"Thu, Oct 25, 2018",8:00p,Boston Celtics,101,Oklahoma City Thunder,95
"Thu, Oct 25, 2018",10:30p,Denver Nuggets,114,Los Angeles Lakers,121
"Fri, Oct 26, 2018",7:00p,Chicago Bulls,106,Charlotte Hornets,135
"Fri, Oct 26, 2018",7:30p,Golden State Warriors,128,New York Knicks,100
"Fri, Oct 26, 2018",7:30p,Dallas Mavericks,107,Toronto Raptors,116
"Fri, Oct 26, 2018",8:00p,Los Angeles Clippers,133,Houston Rockets,113
"Fri, Oct 26, 2018",8:00p,Milwaukee Bucks,125,Minnesota Timberwolves,95
"Fri, Oct 26, 2018",8:00p,Brooklyn Nets,115,New Orleans Pelicans,117
"Fri, Oct 26, 2018",10:00p,Washington Wizards,112,Sacramento Kings,116
"Sat, Oct 27, 2018",7:00p,Boston Celtics,109,Detroit Pistons,89
"Sat, Oct 27, 2018",7:00p,Utah Jazz,132,New Orleans Pelicans,111
"Sat, Oct 27, 2018",7:30p,Chicago Bulls,97,Atlanta Hawks,85
"Sat, Oct 27, 2018",7:30p,Indiana Pacers,119,Cleveland Cavaliers,107
"Sat, Oct 27, 2018",7:30p,Charlotte Hornets,103,Philadelphia 76ers,105
"Sat, Oct 27, 2018",8:00p,Phoenix Suns,96,Memphis Grizzlies,117
"Sat, Oct 27, 2018",8:00p,Portland Trail Blazers,111,Miami Heat,120
"Sat, Oct 27, 2018",8:30p,Orlando Magic,91,Milwaukee Bucks,113
"Sat, Oct 27, 2018",8:30p,Los Angeles Lakers,106,San Antonio Spurs,110
"Sun, Oct 28, 2018",5:00p,Golden State Warriors,120,Brooklyn Nets,114
"Sun, Oct 28, 2018",7:00p,Utah Jazz,113,Dallas Mavericks,104
"Sun, Oct 28, 2018",7:00p,Phoenix Suns,110,Oklahoma City Thunder,117
"Sun, Oct 28, 2018",9:30p,Washington Wizards,104,Los Angeles Clippers,136
"Mon, Oct 29, 2018",7:00p,Portland Trail Blazers,103,Indiana Pacers,93
"Mon, Oct 29, 2018",7:00p,Atlanta Hawks,92,Philadelphia 76ers,113
"Mon, Oct 29, 2018",7:30p,Sacramento Kings,123,Miami Heat,113
"Mon, Oct 29, 2018",7:30p,Brooklyn Nets,96,New York Knicks,115
"Mon, Oct 29, 2018",8:00p,Golden State Warriors,149,Chicago Bulls,124
