Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, Oct 17, 2017",8:01p,Boston Celtics,99,Cleveland Cavaliers,102
"Tue, Oct 17, 2017",10:30p,Houston Rockets,122,Golden State Warriors,121
"Wed, Oct 18, 2017",7:00p,Charlotte Hornets,90,Detroit Pistons,102
"Wed, Oct 18, 2017",7:00p,Brooklyn Nets,131,Indiana Pacers,140
"Wed, Oct 18, 2017",7:00p,Miami Heat,109,Orlando Magic,116
"Wed, Oct 18, 2017",7:00p,Philadelphia 76ers,115,Washington Wizards,120
"Wed, Oct 18, 2017",7:30p,Milwaukee Bucks,108,Boston Celtics,100
"Wed, Oct 18, 2017",8:00p,New Orleans Pelicans,91,Memphis Grizzlies,103
"Wed, Oct 18, 2017",8:30p,Atlanta Hawks,117,Dallas Mavericks,111
"Wed, Oct 18, 2017",9:00p,Denver Nuggets,96,Utah Jazz,106
"Wed, Oct 18, 2017",9:30p,Minnesota Timberwolves,99,San Antonio Spurs,107
"Wed, Oct 18, 2017",10:00p,Portland Trail Blazers,124,Phoenix Suns,76
"Wed, Oct 18, 2017",10:00p,Houston Rockets,105,Sacramento Kings,100
"Thu, Oct 19, 2017",7:30p,Chicago Bulls,100,Toronto Raptors,117
"Thu, Oct 19, 2017",8:00p,New York Knicks,84,Oklahoma City Thunder,105
"Thu, Oct 19, 2017",10:30p,Los Angeles Clippers,108,Los Angeles Lakers,92
"Fri, Oct 20, 2017",7:00p,Atlanta Hawks,91,Charlotte Hornets,109
"Fri, Oct 20, 2017",7:00p,Portland Trail Blazers,114,Indiana Pacers,96
"Fri, Oct 20, 2017",7:00p,Cleveland Cavaliers,116,Milwaukee Bucks,97
"Fri, Oct 20, 2017",7:00p,Boston Celtics,102,Philadelphia 76ers,92
"Fri, Oct 20, 2017",7:00p,Detroit Pistons,111,Washington Wizards,115
"Fri, Oct 20, 2017",7:30p,Orlando Magic,121,Brooklyn Nets,126
"Fri, Oct 20, 2017",8:00p,Utah Jazz,97,Minnesota Timberwolves,100
"Fri, Oct 20, 2017",8:30p,Sacramento Kings,93,Dallas Mavericks,88
"Fri, Oct 20, 2017",9:30p,Golden State Warriors,128,New Orleans Pelicans,120
"Fri, Oct 20, 2017",10:00p,Los Angeles Lakers,132,Phoenix Suns,130
"Sat, Oct 21, 2017",7:30p,Philadelphia 76ers,94,Toronto Raptors,128
"Sat, Oct 21, 2017",8:00p,San Antonio Spurs,87,Chicago Bulls,77
"Sat, Oct 21, 2017",8:00p,Orlando Magic,114,Cleveland Cavaliers,93
"Sat, Oct 21, 2017",8:00p,Dallas Mavericks,91,Houston Rockets,107
"Sat, Oct 21, 2017",8:00p,Golden State Warriors,101,Memphis Grizzlies,111
"Sat, Oct 21, 2017",8:00p,Indiana Pacers,108,Miami Heat,112
"Sat, Oct 21, 2017",8:00p,Detroit Pistons,111,New York Knicks,107
"Sat, Oct 21, 2017",8:30p,Portland Trail Blazers,110,Milwaukee Bucks,113
"Sat, Oct 21, 2017",9:00p,Sacramento Kings,79,Denver Nuggets,96
"Sat, Oct 21, 2017",9:00p,Oklahoma City Thunder,87,Utah Jazz,96
"Sat, Oct 21, 2017",10:30p,Phoenix Suns,88,Los Angeles Clippers,130
"Sun, Oct 22, 2017",3:30p,Atlanta Hawks,104,Brooklyn Nets,116
"Sun, Oct 22, 2017",7:00p,Minnesota Timberwolves,115,Oklahoma City Thunder,113
"Sun, Oct 22, 2017",9:30p,New Orleans Pelicans,119,Los Angeles Lakers,112
"Mon, Oct 23, 2017",7:00p,Philadelphia 76ers,97,Detroit Pistons,86
"Mon, Oct 23, 2017",7:30p,Atlanta Hawks,93,Miami Heat,104
"Mon, Oct 23, 2017",8:00p,Memphis Grizzlies,98,Houston Rockets,90
"Mon, Oct 23, 2017",8:00p,Charlotte Hornets,94,Milwaukee Bucks,103
"Mon, Oct 23, 2017",8:30p,Golden State Warriors,133,Dallas Mavericks,103
"Mon, Oct 23, 2017",8:30p,Toronto Raptors,97,San Antonio Spurs,101
"Mon, Oct 23, 2017",9:00p,Washington Wizards,109,Denver Nuggets,104
"Mon, Oct 23, 2017",10:00p,Sacramento Kings,115,Phoenix Suns,117
"Tue, Oct 24, 2017",7:00p,Chicago Bulls,112,Cleveland Cavaliers,119
"Tue, Oct 24, 2017",7:00p,Brooklyn Nets,121,Orlando Magic,125
"Tue, Oct 24, 2017",7:30p,New York Knicks,89,Boston Celtics,110
"Tue, Oct 24, 2017",8:00p,Indiana Pacers,130,Minnesota Timberwolves,107
"Tue, Oct 24, 2017",10:00p,New Orleans Pelicans,93,Portland Trail Blazers,103
"Tue, Oct 24, 2017",10:30p,Utah Jazz,84,Los Angeles Clippers,102
"Wed, Oct 25, 2017",7:00p,Denver Nuggets,93,Charlotte Hornets,110
"Wed, Oct 25, 2017",7:00p,Minnesota Timberwolves,101,Detroit Pistons,122
"Wed, Oct 25, 2017",7:00p,Houston Rockets,105,Philadelphia 76ers,104
"Wed, Oct 25, 2017",7:30p,Cleveland Cavaliers,107,Brooklyn Nets,112
"Wed, Oct 25, 2017",8:00p,San Antonio Spurs,117,Miami Heat,100
"Wed, Oct 25, 2017",8:00p,Indiana Pacers,96,Oklahoma City Thunder,114
"Wed, Oct 25, 2017",8:30p,Memphis Grizzlies,94,Dallas Mavericks,103
"Wed, Oct 25, 2017",10:00p,Utah Jazz,88,Phoenix Suns,97
"Wed, Oct 25, 2017",10:30p,Toronto Raptors,112,Golden State Warriors,117
"Wed, Oct 25, 2017",10:30p,Washington Wizards,99,Los Angeles Lakers,102
"Thu, Oct 26, 2017",8:00p,Atlanta Hawks,86,Chicago Bulls,91
"Thu, Oct 26, 2017",8:00p,Dallas Mavericks,91,Memphis Grizzlies,96
"Thu, Oct 26, 2017",8:00p,Boston Celtics,96,Milwaukee Bucks,89
"Thu, Oct 26, 2017",10:00p,Los Angeles Clippers,104,Portland Trail Blazers,103
"Thu, Oct 26, 2017",10:30p,New Orleans Pelicans,114,Sacramento Kings,106
"Fri, Oct 27, 2017",7:00p,Houston Rockets,109,Charlotte Hornets,93
"Fri, Oct 27, 2017",7:00p,San Antonio Spurs,87,Orlando Magic,114
"Fri, Oct 27, 2017",7:30p,Denver Nuggets,105,Atlanta Hawks,100
"Fri, Oct 27, 2017",7:30p,Brooklyn Nets,86,New York Knicks,107
"Fri, Oct 27, 2017",8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119
"Fri, Oct 27, 2017",10:30p,Washington Wizards,117,Golden State Warriors,120
"Fri, Oct 27, 2017",10:30p,Toronto Raptors,101,Los Angeles Lakers,92
"Sat, Oct 28, 2017",7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123
"Sat, Oct 28, 2017",8:00p,Oklahoma City Thunder,101,Chicago Bulls,69
"Sat, Oct 28, 2017",8:00p,Houston Rockets,89,Memphis Grizzlies,103
"Sat, Oct 28, 2017",8:00p,Boston Celtics,96,Miami Heat,90
"Sat, Oct 28, 2017",8:30p,Philadelphia 76ers,112,Dallas Mavericks,110
"Sat, Oct 28, 2017",9:00p,Los Angeles Lakers,81,Utah Jazz,96
"Sat, Oct 28, 2017",10:00p,Phoenix Suns,107,Portland Trail Blazers,114
"Sat, Oct 28, 2017",10:30p,Detroit Pistons,95,Los Angeles Clippers,87
"Sun, Oct 29, 2017",3:30p,Milwaukee Bucks,117,Atlanta Hawks,106
"Sun, Oct 29, 2017",4:30p,San Antonio Spurs,94,Indiana Pacers,97
"Sun, Oct 29, 2017",6:00p,Denver Nuggets,124,Brooklyn Nets,111
"Sun, Oct 29, 2017",6:00p,Orlando Magic,113,Charlotte Hornets,120
"Sun, Oct 29, 2017",6:00p,Washington Wizards,110,Sacramento Kings,83
"Sun, Oct 29, 2017",7:00p,New York Knicks,114,Cleveland Cavaliers,95
"Sun, Oct 29, 2017",8:30p,Detroit Pistons,115,Golden State Warriors,107
"Mon, Oct 30, 2017",7:30p,San Antonio Spurs,94,Boston Celtics,108
"Mon, Oct 30, 2017",7:30p,Minnesota Timberwolves,125,Miami Heat,122
"Mon, Oct 30, 2017",7:30p,Denver Nuggets,110,New York Knicks,116
"Mon, Oct 30, 2017",8:00p,Philadelphia 76ers,115,Houston Rockets,107
"Mon, Oct 30, 2017",8:00p,Charlotte Hornets,104,Memphis Grizzlies,99
"Mon, Oct 30, 2017",8:00p,Orlando Magic,115,New Orleans Pelicans,99
"Mon, Oct 30, 2017",9:00p,Dallas Mavericks,89,Utah Jazz,104
"Mon, Oct 30, 2017",10:00p,Toronto Raptors,99,Portland Trail Blazers,85
"Mon, Oct 30, 2017",10:30p,Golden State Warriors,141,Los Angeles Clippers,113
"Tue, Oct 31, 2017",7:00p,Sacramento Kings,83,Indiana Pacers,101
"Tue, Oct 31, 2017",7:30p,Phoenix Suns,122,Brooklyn Nets,114
"Tue, Oct 31, 2017",8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91
"Tue, Oct 31, 2017",10:30p,Detroit Pistons,93,Los Angeles Lakers,113
